ICD,num_pts_last_visit,if_last_then_num_pts_prev_visits,if_last_then_num_seq_prev_visits,SHORT_TITLE,LONG_TITLE
ICD_4019,2689,1936,2680,Hypertension NOS,Unspecified essential hypertension
ICD_4280,2570,1756,3066,CHF NOS,"Congestive heart failure, unspecified"
ICD_42731,2182,1584,2501,Atrial fibrillation,Atrial fibrillation
ICD_5849,1777,763,1117,Acute kidney failure NOS,"Acute kidney failure, unspecified"
ICD_2724,1471,776,1073,Hyperlipidemia NEC/NOS,Other and unspecified hyperlipidemia
ICD_25000,1455,1035,1491,DMII wo cmp nt st uncntr,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
ICD_41401,1438,981,1417,Crnry athrscl natve vssl,Coronary atherosclerosis of native coronary artery
ICD_51881,1307,423,569,Acute respiratry failure,Acute respiratory failure
ICD_5990,1185,401,536,Urin tract infection NOS,"Urinary tract infection, site not specified"
ICD_53081,1066,592,911,Esophageal reflux,Esophageal reflux
ICD_99592,944,205,269,Severe sepsis,Severe sepsis
ICD_V4581,930,426,654,Aortocoronary bypass,Aortocoronary bypass status
ICD_2449,924,650,1031,Hypothyroidism NOS,Unspecified acquired hypothyroidism
ICD_486,902,228,266,"Pneumonia, organism NOS","Pneumonia, organism unspecified"
ICD_2859,864,212,246,Anemia NOS,"Anemia, unspecified"
ICD_2762,849,199,239,Acidosis,Acidosis
ICD_0389,839,167,213,Septicemia NOS,Unspecified septicemia
ICD_496,826,471,718,Chr airway obstruct NEC,"Chronic airway obstruction, not elsewhere classified"
ICD_V5861,821,324,485,Long-term use anticoagul,Long-term (current) use of anticoagulants
ICD_40390,818,372,515,Hy kid NOS w cr kid I-IV,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified"
ICD_5859,770,328,430,Chronic kidney dis NOS,"Chronic kidney disease, unspecified"
ICD_2720,712,357,461,Pure hypercholesterolem,Pure hypercholesterolemia
ICD_412,667,258,402,Old myocardial infarct,Old myocardial infarction
ICD_2851,661,181,219,Ac posthemorrhag anemia,Acute posthemorrhagic anemia
