ICD,SHORT_TITLE,LONG_TITLE,prevalence,AUC_WeightP2V,AUC_P2V,AUC_LR,AUC_RF
ICD_4019,Hypertension NOS,Unspecified essential hypertension,0.3576273440617103,0.7618676025768316,0.6766471018341068,0.7198291656083801,0.7764137708097624
ICD_4280,CHF NOS,"Congestive heart failure, unspecified",0.34180077137917275,0.8353393860786857,0.8070508980859175,0.7960057854812719,0.8443074322996502
ICD_42731,Atrial fibrillation,Atrial fibrillation,0.29019816464955445,0.8661792952248359,0.8028507022441523,0.8303093981583712,0.8656785876061471
ICD_5849,Acute kidney failure NOS,"Acute kidney failure, unspecified",0.23633461896528793,0.690409035861113,0.6659340779894677,0.6185810433570412,0.6711017118158036
ICD_2724,Hyperlipidemia NEC/NOS,Other and unspecified hyperlipidemia,0.1956377177816199,0.7887478972567288,0.6962809300954681,0.7252906548337934,0.7928942553772717
ICD_25000,DMII wo cmp nt st uncntr,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",0.19350977523606863,0.7885606189654673,0.6463289472730436,0.8180008707486445,0.8703762884542898
ICD_41401,Crnry athrscl natve vssl,Coronary atherosclerosis of native coronary artery,0.1912488362814204,0.8107926488203179,0.7451590433752165,0.7656218285197343,0.8338721981779839
ICD_51881,Acute respiratry failure,Acute respiratory failure,0.17382630668971938,0.6066524099552804,0.5948734913780371,0.5602850406926714,0.6367706973382877
ICD_5990,Urin tract infection NOS,"Urinary tract infection, site not specified",0.15760074477989094,0.6557053105087189,0.6345222735939928,0.5853272656308655,0.6401703965482998
ICD_53081,Esophageal reflux,Esophageal reflux,0.14177417209735338,0.7278344479709487,0.6136884437186009,0.7206835093904561,0.7450699160635142
ICD_99592,Severe sepsis,Severe sepsis,0.12554861018752494,0.6658597390614046,0.6668221498824694,0.5790417903831085,0.6776434724112335
ICD_V4581,Aortocoronary bypass,Aortocoronary bypass status,0.12368666046016757,0.8117648440941798,0.732679752639222,0.9085971576353876,0.9398783102452396
ICD_2449,Hypothyroidism NOS,Unspecified acquired hypothyroidism,0.12288868200558585,0.787784148335998,0.6085835177557434,0.8680343786999336,0.9103019605217908
ICD_486,"Pneumonia, organism NOS","Pneumonia, organism unspecified",0.11996276100545285,0.6214472523032327,0.617151168050047,0.5598969148844213,0.612800639792436
ICD_2859,Anemia NOS,"Anemia, unspecified",0.11490889745976858,0.5912448111422721,0.5685306212161682,0.5164509743367165,0.5610607875378383
ICD_2762,Acidosis,Acidosis,0.11291395132331428,0.6014153629067819,0.5679913925390246,0.5399496251874063,0.5981004674133521
ICD_0389,Septicemia NOS,Unspecified septicemia,0.11158398723234472,0.6463495865412033,0.6339227259766183,0.5633718990590248,0.6436629597946963
ICD_496,Chr airway obstruct NEC,"Chronic airway obstruction, not elsewhere classified",0.10985503391408431,0.8092040792556813,0.6904283478898743,0.7539688608424587,0.816505981649571
ICD_V5861,Long-term use anticoagul,Long-term (current) use of anticoagulants,0.10919005186859955,0.8045927934329091,0.6939575237260787,0.7463209412113432,0.8257642728809631
ICD_40390,Hy kid NOS w cr kid I-IV,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",0.10879106264130868,0.8108708928254822,0.7411490494024701,0.7412716636058717,0.8074518134571368
ICD_5859,Chronic kidney dis NOS,"Chronic kidney disease, unspecified",0.10240723500465487,0.7906123328523328,0.7156141221741221,0.7097518037518038,0.7714916402116402
ICD_2720,Pure hypercholesterolem,Pure hypercholesterolemia,0.09469344327703152,0.7251043880959611,0.6423030902177214,0.6894426088276846,0.7230941951966623
ICD_412,Old myocardial infarct,Old myocardial infarction,0.08870860486766857,0.7668628592202635,0.7084785769966198,0.7369107669075159,0.816465667613984
ICD_2851,Ac posthemorrhag anemia,Acute posthemorrhagic anemia,0.08791062641308685,0.613800893216646,0.5842918804333749,0.582044653783836,0.608758157496174
ICD_311,Depressive disorder NEC,"Depressive disorder, not elsewhere classified",0.08671365873121425,0.696848905388554,0.6276865948955055,0.6611655459122239,0.740267078403979
ICD_5070,Food/vomit pneumonitis,Pneumonitis due to inhalation of food or vomitus,0.08259077004920867,0.6612576085710103,0.6389219485772939,0.6280836329836973,0.6530214265936629
ICD_78552,Septic shock,Septic shock,0.08232477723101476,0.6582293595137915,0.6606998597475456,0.5731948574100046,0.6673453950444133
ICD_V4582,Status-post ptca,Percutaneous transluminal coronary angioplasty status,0.08152679877643304,0.8384595937441927,0.742236038906828,0.8356410561179393,0.8907419880366504
ICD_40391,Hyp kid NOS w cr kid V,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",0.08139380236733608,0.9032360888767783,0.8426175391986558,0.8566709148434514,0.9101334627655346
ICD_V5867,Long-term use of insulin,Long-term (current) use of insulin,0.07993084186726958,0.8294838732604722,0.7190023810004045,0.7918236311648845,0.8701486036234619
ICD_2761,Hyposmolality,Hyposmolality and/or hyponatremia,0.07660593163984572,0.630138428859447,0.6015875016001024,0.5326865919418843,0.6038085437467998
ICD_V1582,History of tobacco use,Personal history of tobacco use,0.07248304295784014,0.7049445822316485,0.6492474927806158,0.6293550298282159,0.7145446036613229
ICD_2875,Thrombocytopenia NOS,"Thrombocytopenia, unspecified",0.0711530788668706,0.6652490340394248,0.6347746875587698,0.554782145971175,0.6383871557162641
ICD_5856,End stage renal disease,End stage renal disease,0.069956111184998,0.9394531543060809,0.872047523624269,0.8985534586408122,0.9371858659948614
ICD_32723,Obstructive sleep apnea,Obstructive sleep apnea (adult)(pediatric),0.06570022609389546,0.8106610380645168,0.7156124562210229,0.8180315796388429,0.8581133003960997
ICD_5119,Pleural effusion NOS,Unspecified pleural effusion,0.06437026200292592,0.6572362208053976,0.649555062746959,0.5665581730791819,0.6086566606683925
ICD_41400,Cor ath unsp vsl ntv/gft,"Coronary atherosclerosis of unspecified type of vessel, native or graft",0.059981380502726424,0.7717795774048309,0.6895032328179855,0.8207319165026469,0.8863060359291034
ICD_V1251,Hx-ven thrombosis/embols,Personal history of venous thrombosis and embolism,0.05811943077536907,0.7279424716852423,0.6322337548792424,0.7187415777861167,0.8013323378195928
ICD_4168,Chr pulmon heart dis NEC,Other chronic pulmonary heart diseases,0.057720441548078205,0.7892063405351761,0.7242042789637775,0.6724626088178026,0.7403790299818817
ICD_2767,Hyperpotassemia,Hyperpotassemia,0.05745444872988429,0.7137104443608394,0.6766156675863222,0.5672773101120308,0.6657511913719588
ICD_5845,"Ac kidny fail, tubr necr",Acute kidney failure with lesion of tubular necrosis,0.05705545950259343,0.6535976645783449,0.6456935743103618,0.5472837602912717,0.6115814609505691
ICD_2760,Hyperosmolality,Hyperosmolality and/or hypernatremia,0.055592499002526934,0.6664555708412887,0.6694432055664622,0.5813043431394082,0.6411381523366286
ICD_2749,Gout NOS,"Gout, unspecified",0.05399654209336348,0.8115555118540975,0.676910026853315,0.8196225163453456,0.8721118144891569
ICD_3051,Tobacco use disorder,Tobacco use disorder,0.05346455645697566,0.8170108994225277,0.7387251715572181,0.7340577947575972,0.7972016148535211
ICD_V4986,Do not resusctate status,Do not resuscitate status,0.052932570820587846,0.8071987288308998,0.7801581623365352,0.7030581156272799,0.7874793089288058
ICD_4240,Mitral valve disorder,Mitral valve disorders,0.052533581593296984,0.752007582846999,0.6843242929009352,0.6864545227683914,0.713282672315519
ICD_4589,Hypotension NOS,"Hypotension, unspecified",0.050538635456842666,0.557969040247678,0.5375770308123249,0.5202797434763379,0.5514713990859501
ICD_41071,"Subendo infarct, initial","Subendocardial infarction, initial episode of care",0.04920867136587312,0.6892495180495181,0.6665398601398601,0.6340140616140616,0.6785379701379701
ICD_70703,"Pressure ulcer, low back","Pressure ulcer, lower back",0.049075674956776165,0.7246906822906823,0.6752901152901153,0.6429321489321489,0.7349523341523342
ICD_42789,Cardiac dysrhythmias NEC,Other specified cardiac dysrhythmias,0.048410692911291395,0.5508714734119988,0.5095832898236475,0.529352683370291,0.5643656441378633
ICD_00845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile,0.047745710865806625,0.6967897268777157,0.6577774674115456,0.579306486654252,0.6592545003103663
ICD_42833,Ac on chr diast hrt fail,Acute on chronic diastolic heart failure,0.04721372522941881,0.8041294173740111,0.765172146625763,0.6983198608523266,0.7745329330798814
ICD_28521,Anemia in chr kidney dis,Anemia in chronic kidney disease,0.04588376113844926,0.8529200661992327,0.7914263291816467,0.713058475451655,0.8265450381999223
ICD_73300,Osteoporosis NOS,"Osteoporosis, unspecified",0.04375581859289799,0.7772043663337127,0.6754834576642643,0.7719040755257723,0.8072020904454841
ICD_4254,Prim cardiomyopathy NEC,Other primary cardiomyopathies,0.043622822183801035,0.8096265498250088,0.7074016861553487,0.7708424333270029,0.8270803942049431
ICD_42822,Chr systolic hrt failure,Chronic systolic heart failure,0.04348982577470408,0.7414434059524132,0.6760653775197374,0.7243331004639301,0.8223922583358203
ICD_3572,Neuropathy in diabetes,Polyneuropathy in diabetes,0.04176087245644368,0.8784388805507088,0.767137258229607,0.8416465578048017,0.8889926299916383
ICD_V4501,Status cardiac pacemaker,Cardiac pacemaker in situ,0.04176087245644368,0.8377832697804908,0.7456136163953959,0.8222650622004664,0.8585995216300641
ICD_49390,Asthma NOS,"Asthma, unspecified type, unspecified",0.041627876047346725,0.7610273462843242,0.5979645412262605,0.8068299417859498,0.8370527214582328
ICD_4439,Periph vascular dis NOS,"Peripheral vascular disease, unspecified",0.040563904774571086,0.7843320268685979,0.700752712137438,0.6949832478967005,0.7763082314526402
ICD_45829,Iatrogenc hypotnsion NEC,Other iatrogenic hypotension,0.039898922729086315,0.6057586334256694,0.588915974145891,0.5705670360110804,0.5784400738688826
ICD_42832,Chr diastolic hrt fail,Chronic diastolic heart failure,0.03976592631998936,0.6946129270544783,0.6193095106186519,0.6726209602954755,0.7581016620498615
ICD_5180,Pulmonary collapse,Pulmonary collapse,0.03896794786540764,0.5990811713558936,0.5812668161646058,0.5289929976972798,0.54775724848478
ICD_5789,Gastrointest hemorr NOS,"Hemorrhage of gastrointestinal tract, unspecified",0.038834951456310676,0.6519710259189908,0.624415135962884,0.5770814223226266,0.6093611412240071
ICD_E8798,Abn react-procedure NEC,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",0.03870195504721372,0.6620219314537832,0.6350095897991828,0.5505389997801549,0.6464846563213076
ICD_4241,Aortic valve disorder,Aortic valve disorders,0.03830296581992286,0.7924175731317601,0.6536642699115044,0.7850453424594396,0.79428110788471
ICD_4271,Parox ventric tachycard,Paroxysmal ventricular tachycardia,0.037770980183535044,0.7093674818396282,0.674819953440933,0.6316533529535422,0.6767300041264726
ICD_99591,Sepsis,Sepsis,0.037105998138050274,0.6642827545382795,0.6286456195737963,0.5362963693764798,0.6294906274664561
ICD_78039,Convulsions NEC,Other convulsions,0.03657401250166246,0.7762590129562497,0.7159528325290695,0.7009127993982026,0.7388649477028465
ICD_99859,Other postop infection,Other postoperative infection,0.03630801968346855,0.6867257243362056,0.6809282141065496,0.626521352832975,0.6702531071761717
ICD_42823,Ac on chr syst hrt fail,Acute on chronic systolic heart failure,0.03590903045617768,0.8417636781609196,0.8011753767560664,0.7424389272030651,0.8033643933588761
ICD_7907,Bacteremia,Bacteremia,0.03590903045617768,0.5954858748403576,0.5827103959131545,0.5164040868454661,0.5977940229885057
ICD_27652,Hypovolemia,Hypovolemia,0.035776034047080726,0.602792950191571,0.5723567816091955,0.519695325670498,0.578290472541507
ICD_V667,Encountr palliative care,Encounter for palliative care,0.035776034047080726,0.6013852362707535,0.6031613793103449,0.5601388505747127,0.6504411749680715
ICD_60000,BPH w/o urinary obs/LUTS,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),0.03524404841069291,0.7517835117156,0.636617805887755,0.7921072325147028,0.8403169835258121
ICD_27651,Dehydration,Dehydration,0.03484505918340205,0.6366419575977231,0.6134589050460771,0.5592599058895791,0.540630081258059
ICD_2930,Delirium d/t other cond,Delirium due to conditions classified elsewhere,0.03418007713791728,0.6356753537048542,0.623259229844641,0.5245839551322697,0.602481111189392
ICD_79902,Hypoxemia,Hypoxemia,0.03364809150152946,0.6605974108727739,0.6237696444013863,0.5459779232798212,0.6587176602924635
ICD_4275,Cardiac arrest,Cardiac arrest,0.03364809150152946,0.6098848915561855,0.5978530140379852,0.5265052851052577,0.5806178490694444
