ICD,NAME,prevalence,AUC_WeightP2V,AUC_P2V,AUC_LR,AUC_RF
ICD_V49.89,Other specified conditions influencing health status,0.04561750187453137,0.4625481081277932,0.5305722931303568,0.7401291112365154,0.6795819933465772
ICD_Z78.9,Other specified health status,0.04419598225443639,0.47904373321784155,0.5520303687056842,0.744173309442463,0.6806249878396042
ICD_Z00.00,Encounter for general adult medical examination w/out abnormal findings,0.037400806048487875,0.5884376731634415,0.6145125645934391,0.751573577235472,0.7263544415189519
ICD_V70.0,Routine general medical examination at health care facility,0.03706495251187203,0.5878887474968344,0.6146804778551258,0.7503105789723834,0.7207504361215743
ICD_I10,Essential (primary) hypertension,0.019924706323419146,0.7215804694472557,0.7324718667592585,0.7905068671682374,0.7401240884347904
ICD_401.9,Unspecified essential hypertension,0.01749953136715821,0.7258403544078232,0.7453176264656126,0.7951941010459203,0.748375285179271
ICD_Z82.49,Family history of ischemic heart disease and other diseases of the circulatory system-Z82.49,0.01364112096975756,0.5142942273088512,0.522770133765934,0.7115589176876854,0.6241039299308633
ICD_V15.82,"Personal history of tobacco use, presenting hazards to health",0.012828824043989003,0.5994194341033611,0.5946786928382558,0.694196661186041,0.6581388968065255
ICD_Z87.891,Personal history of nicotine dependence,0.012824918770307423,0.5961053340206478,0.6011397975583377,0.6936662177728603,0.6558123937093575
ICD_272.4,Other and unspecified hyperlipidemia,0.012250843539115222,0.7376321632575289,0.7592287062540479,0.7946786993636835,0.7507563641526553
ICD_E78.5,"Hyperlipidemia, unspecified",0.012227411897025744,0.7441959482794723,0.7617643161062284,0.799101706106382,0.7526301133221079
ICD_V17.49,Family history of other cardiovascular diseases,0.010630154961259686,0.49011082595838257,0.5015630736775154,0.7112451557281019,0.6212582931996953
ICD_I25.10,Atherosclerotic heart disease of native coronary artery w/out angina pectoris,0.007755873531617096,0.8261854304290329,0.8343564952780278,0.827232127898303,0.7824976807123808
ICD_250.00,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",0.006674112721819545,0.7861772904008278,0.7731264096488055,0.7775806023679662,0.7256291954942002
ICD_414.00,"Coronary atherosclerosis of unspecified type of vessel, native or graft",0.006670207448137965,0.8100445721339207,0.8237744518433531,0.8210339853382946,0.7783653619336678
ICD_Z01.419,Encounter for gynecological examination (general) (routine) w/out abnormal findings,0.0066272494376405896,0.8334489500275682,0.8278311272421167,0.8324818805870937,0.7837376157648709
ICD_V72.31,Routine gynecological examination,0.006607723069232692,0.8374354684799415,0.8240969862310329,0.8331619336085989,0.7827314347494794
ICD_E11.9,Type 2 diabetes mellitus w/out complications,0.006584291427143214,0.7887702907304135,0.7701161683642319,0.7821378151551431,0.7217926736970314
ICD_Z83.3,Family history of diabetes mellitus-Z83.3,0.006412459385153712,0.47498450094389394,0.4923427170512482,0.6965664725502186,0.5872669728200811
ICD_V18.0,Family history of diabetes mellitus,0.006412459385153712,0.46372950956035325,0.47726025424053303,0.6965664725502186,0.5872669728200811
ICD_V20.2,Routine infant or child health check,0.0062913959010247435,0.8761790384202395,0.8866988355800454,0.9206738620664757,0.8640250176308029
ICD_Z00.129,Encounter for routine child health examination w/out abnormal findings,0.0062913959010247435,0.8758454384136395,0.8878576696922468,0.9206738620664757,0.8640250176308029
ICD_278.00,"Obesity, unspecified",0.006107848037990502,0.7920355232414996,0.7792295660213346,0.7786886277189615,0.7321095613986605
ICD_E66.9,"Obesity, unspecified-E66.9",0.005990689827543114,0.7939201947542345,0.7893198840657866,0.7797932933728455,0.7255642880087136
ICD_K21.9,Gastro-esophageal reflux disease w/out esophagitis,0.005881342164458885,0.6999498659692789,0.6764915228893429,0.7094451109470409,0.6580885648761475
ICD_719.46,"Pain in joint, lower leg",0.005857910522369407,0.8204203946093451,0.7904034652713398,0.7753863788019254,0.7360757813359311
ICD_305.1,Nondependent tobacco use disorder,0.005678267933016746,0.7123276082032195,0.6950648506465129,0.7375324636805964,0.6622094335609544
ICD_493.90,"Asthma, unspecified, unspecified status",0.005666552111972007,0.7866852629576525,0.7377979589955008,0.801418224153102,0.7805689035123681
ICD_Z86.79,Personal history of other diseases of the circulatory system,0.005580636090977256,0.5820251796146799,0.611930694543051,0.6824912193322001,0.5958133145385537
ICD_530.81,Esophageal reflux,0.00554158335416146,0.7075602562541116,0.6851835649666873,0.7088036681245314,0.6582062776350224
ICD_Z23,Encounter for immunization,0.0055337728067983,0.8397564331619313,0.818238368944167,0.8065345834947517,0.781107936311565
ICD_V12.59,Personal history of other diseases of circulatory system,0.00544004623844039,0.5870797480726102,0.6158836799920391,0.679560312602616,0.593995174843965
ICD_268.9,Unspecified vitamin D deficiency,0.005373656585853537,0.7625011139941035,0.6998226649222615,0.7604697788466034,0.6983210921817337
ICD_E55.9,"Vitamin D deficiency, unspecified",0.005373656585853537,0.7554932818394124,0.6915676969651148,0.7604697788466034,0.6983210921817337
ICD_J45.909,"Unspecified asthma, uncomplicated",0.0053424143964009,0.7949258404974755,0.7563087915656633,0.8012397109306965,0.773633141732366
ICD_278.01,Morbid obesity,0.004908929017745564,0.8378738922923056,0.8279440527907194,0.8529089866423444,0.8490496288885664
ICD_427.31,Atrial fibrillation,0.004908929017745564,0.860883141839045,0.8409791063606532,0.8277629132548269,0.7839286267801301
ICD_E66.01,Morbid (severe) obesity due to excess calories,0.004905023744063984,0.8405189609981348,0.8254256733232586,0.8564848327413052,0.8463954025981245
ICD_V12.29,"Personal history of other endocrine, metabolic, and immunity disorders",0.004881592101974507,0.5537735892062445,0.5735976855274828,0.6528760422896701,0.5823977684114687
ICD_272.0,Pure hypercholesterolemia,0.004862065733566608,0.6725392600801019,0.6878003797852839,0.7436270376483296,0.6553740864888985
ICD_477.9,"Allergic rhinitis, cause unspecified",0.0047956760809797555,0.8128175734711519,0.8039003778018978,0.7920444280879527,0.7477816070556561
ICD_692.9,"Contact dermatitis and other eczema, due to unspecified cause",0.0047722444388902776,0.8307469326875762,0.8106012530006237,0.7742977102939981,0.7609134088036911
ICD_Z87.898,Personal history of other specified conditions-Z87.898,0.004756623344163959,0.6187448546633146,0.6208138139950374,0.6536595519156184,0.615014779459135
ICD_Z86.39,"Personal history of other endocrine, nutritional and metabolic disease",0.004752718070482379,0.5368133123068587,0.5583784357193579,0.652436762073419,0.5917305432430338
ICD_F17.200,"Nicotine dependence, unspecified, uncomplicated",0.004690233691577106,0.6896635538170682,0.6448241711425565,0.752020100583611,0.6599044569553599
ICD_300.00,"Anxiety state, unspecified",0.004666802049487628,0.7019042523219589,0.6719512354189879,0.7065787739122824,0.6318547169368133
ICD_E78.00,"Pure hypercholesterolemia, unspecified",0.004631654586353412,0.6892716585484863,0.6923279698396722,0.7446504757022462,0.6582356705209106
ICD_F41.9,"Anxiety disorder, unspecified",0.004588696575856036,0.700784493404251,0.6676630815533872,0.7070228013524842,0.6266645155453212
ICD_786.09,Other dyspnea and respiratory abnormalities,0.004284085228692827,0.772350345732875,0.763942358936832,0.7692257849108134,0.6947833633638886
ICD_R05,Cough-R05,0.004178642839290177,0.7707806531493246,0.7333638401900459,0.7235350291181489,0.6694579509622326
ICD_786.2,Cough,0.004178642839290177,0.770249409570128,0.7295813330113906,0.7235350291181489,0.6694579509622326
ICD_724.2,Lumbago,0.004131779555111222,0.7720198673704805,0.7265320952379978,0.7247106888192572,0.6863856496678747
ICD_M54.5,Low back pain,0.004127874281429643,0.7692369649665611,0.7235034666468673,0.7232057881545242,0.6885124964981268
ICD_719.41,"Pain in joint, shoulder region",0.0040419582604348915,0.8447202547296654,0.8338276229747822,0.8051099764627585,0.7861610315509857
ICD_729.5,Pain in soft tissues of limb,0.0039677580604848784,0.7174717382208987,0.6780590891398056,0.6799081806308745,0.6260960141638925
ICD_L30.9,"Dermatitis, unspecified",0.0039677580604848784,0.8322756954565539,0.8135631193214332,0.7843486015416089,0.75249155508662
ICD_786.50,"Chest pain, unspecified",0.003885747313171707,0.8206628230096061,0.8147342842967904,0.7927170350748665,0.7435677614602371
ICD_V13.89,Personal history of other specified diseases.,0.003795926018495376,0.6194735745786608,0.6262490095560779,0.63889690826626,0.5896430023568032
ICD_E03.9,"Hypothyroidism, unspecified",0.003788115471132217,0.7029332175024383,0.6464534027844516,0.7502020076043932,0.6462030871336776
ICD_M25.569,Pain in unspecified knee,0.0037607785553611596,0.8280845305682136,0.7939872980919096,0.7911414361925883,0.7404209417038652
ICD_R07.9,"Chest pain, unspecified-R07.9",0.0037451574606348413,0.8294883336077291,0.8219463428927583,0.8077042108639807,0.7441102342424979
ICD_244.9,Unspecified hypothyroidism,0.0037412521869532615,0.7106167304934785,0.655616807173708,0.745814116288506,0.6434859392109583
ICD_J30.9,"Allergic rhinitis, unspecified",0.0037412521869532615,0.847121963481323,0.8347765070828064,0.819760950161828,0.7810902052962977
ICD_V12.79,Personal history of other diseases of digestive disease,0.003706104723819045,0.6007610754571089,0.6018321077470641,0.6299144513001722,0.5601682966097569
ICD_I48.91,Unspecified atrial fibrillation,0.003698294176455886,0.8601618518019775,0.8376989147373286,0.8304845564473301,0.7728481100315192
ICD_V17.3,Family history of ischemic heart disease,0.0036123781554611347,0.6183011419131934,0.6157203270097255,0.7169983887218316,0.602071544678558
ICD_R00.2,Palpitations-R00.2,0.003471788302924269,0.7911443487517582,0.7706230570801452,0.796300460435679,0.6902080361895188
ICD_785.1,Palpitations,0.003471788302924269,0.7886949954435503,0.7742246426612626,0.796300460435679,0.6902080361895188
ICD_564.00,Unspecified constipation,0.003440546113471632,0.7518002625005528,0.7255977155215128,0.7212979680554898,0.6738214488671301
ICD_780.79,Other malaise and fatigue,0.003421019745063734,0.7665897692903354,0.7441445622720411,0.7027103448774412,0.656743095590802
ICD_V18.19,Family history of other endocrine and metabolic diseases,0.0033390089977505624,0.5534118246765445,0.5319911401532255,0.7355744545357003,0.6175063819533629
ICD_Z87.09,Personal history of other diseases of the respiratory system,0.003315577355661085,0.6094587947648498,0.6225917829234383,0.6564544892999516,0.598148734912434
ICD_F32.9,"Major depressive disorder, single episode, unspecified-F32.9",0.0032648087978005497,0.7368541556576527,0.7083388336222953,0.7073997689503702,0.6428967929828461
ICD_Z87.19,Personal history of other diseases of the digestive system,0.003253092976755811,0.5784692845021876,0.5903880819617124,0.6089178187289687,0.5370835302670601
ICD_311,"Depressive disorder, not elsewhere classified",0.003253092976755811,0.7385412645310031,0.7205700171557838,0.7071265279651905,0.6471973831416311
ICD_R10.9,Unspecified abdominal pain,0.003233566608347913,0.7629581977100591,0.7142497919704965,0.7312685094397433,0.6555072456197212
ICD_424.1,Aortic valve disorders,0.003194513871532117,0.8899174729696977,0.8768774098114889,0.8382975897818848,0.7644102462005731
ICD_Z80.3,Family history of malignant neoplasm of breast-Z80.3,0.0030890714821294675,0.5415529524504586,0.5398604810691431,0.6890884229526237,0.5818300110564502
